surface	cab_norm	count	class	ruling	result	reason
—	--	519	residual	reject	—	hegel1-tabelle
fuͤr	für	283	residual	accept	für	hegel1-paare
diß	dies	268	residual	accept	dies	hegel2
uͤberhaupt	überhaupt	231	residual	accept	überhaupt	hegel1-paare
andern	anderen	209	residual	reject	andern	hegel1-tabelle
Verhaͤltniß	Verhältnis	190	residual	accept	Verhältnis	hegel2
uͤber	über	188	residual	accept	über	hegel1-paare
Groͤße	Größe	156	residual	accept	Größe	cab
Andersſeyn	Anderssein	153	ss_audit	accept	Anderssein	hegel1-tabelle
Qualitaͤt	Qualität	134	residual	accept	Qualität	hegel1-paare
nemlich	nämlich	128	residual	accept	nämlich	hegel1-tabelle
Verhaͤltniſſe	Verhältnisse	120	residual	accept	Verhältnisse	hegel1-tabelle
Quantitaͤt	Quantität	112	residual	accept	Quantität	cab
enthaͤlt	enthält	105	residual	accept	enthält	hegel1-paare
daſſelbe	dasselbe	96	ss_audit	accept	dasselbe	hegel1-tabelle
Aeuſſerlichkeit	Äußerlichkeit	92	residual	accept	Äußerlichkeit	hegel1-tabelle
Maaß	Maß	90	residual	accept	Maß	hegel2
Wiſſenſchaft	Wissenschaft	89	ss_audit	accept	Wissenschaft	hegel1-tabelle
auſſer	außer	80	residual	accept	außer	hegel1-tabelle
gleichguͤltig	gleichgültig	79	residual	accept	gleichgültig	hegel1-paare
Continuitaͤt	Kontinuität	76	residual	accept	Kontinuität	hegel1-paare
Seyn-fuͤr-	Seyn-für-	73	residual	rewrite	Sein-für-	mechanisch
Andern	Anderen	71	residual	reject	Andern	hegel1-tabelle
Verhaͤltniſſes	Verhältnisses	70	residual	accept	Verhältnisses	hegel1-paare
Diß	Dies	69	residual	accept	Dies	hegel2
zunaͤchſt	zunächst	69	residual	accept	zunächst	hegel1-paare
waͤre	wäre	68	residual	accept	wäre	hegel1-paare
Groͤßen	Größen	68	residual	accept	Größen	cab
Fuͤrſichſeyn	Fürsichsein	68	residual	accept	Fürsichsein	hegel1-paare
deſſelben	desselben	67	ss_audit	accept	desselben	hegel1-tabelle
gleichguͤltige	gleichgültige	66	residual	accept	gleichgültige	hegel1-paare
aͤuſſerliche	äußerliche	62	residual	accept	äußerliche	hegel1-tabelle
Veraͤnderung	Veränderung	60	residual	accept	Veränderung	hegel1-paare
aͤuſſerlich	äußerlich	58	residual	accept	äußerlich	hegel1-tabelle
naͤher	näher	51	residual	accept	näher	hegel1-paare
Realitaͤt	Realität	50	residual	accept	Realität	hegel1-paare
Inſichſeyn	Insichseyn	48	cab_unnormalized	rewrite	Insichsein	hegel1-paare
Andre	Andere	46	residual	reject	Andre	hegel1-tabelle
ſpecifiſche	spezifische	45	residual	accept	spezifische	hegel1-tabelle
Gleichguͤltigkeit	Gleichgültigkeit	44	residual	accept	Gleichgültigkeit	hegel1-paare
deſſen	dessen	44	ss_audit	accept	dessen	hegel1-tabelle
gegenuͤber	gegenüber	44	residual	accept	gegenüber	hegel1-paare
Ruͤckſicht	Rücksicht	43	residual	accept	Rücksicht	hegel1-paare
Selbſtſtaͤndigkeit	Selbstständigkeit	43	residual	accept	Selbstständigkeit	hegel1-paare
wuͤrde	würde	43	residual	accept	würde	hegel1-paare
erhaͤlt	erhält	41	residual	accept	erhält	hegel1-paare
Wiſſen	Wissen	36	ss_audit	accept	Wissen	hegel1-tabelle
Uebergehen	Übergehen	35	residual	accept	Übergehen	hegel1-tabelle
ſpecifiſchen	spezifischen	34	residual	accept	spezifischen	hegel1-tabelle
Maaße	Maße	34	residual	rewrite	Masse	hegel2
Qualitaͤten	Qualitäten	34	residual	accept	Qualitäten	cab
koͤnnen	können	33	residual	accept	können	hegel1-paare
gehoͤrt	gehört	33	residual	accept	gehört	hegel1-paare
aͤuſſerlichen	äußerlichen	33	residual	accept	äußerlichen	hegel1-tabelle
Andersſeyns	Andersseins	32	ss_audit	accept	Andersseins	hegel1-tabelle
vornemlich	vornehmlich	32	residual	accept	vornehmlich	hegel1-tabelle
„	"	31	residual	reject	„	punctuation stays as printed
“	"	31	residual	reject	“	punctuation stays as printed
gewoͤhnlichen	gewöhnlichen	31	residual	accept	gewöhnlichen	hegel1-paare
aͤuſſerliches	Äußerliches	31	residual	rewrite	äußerliches	hegel1-tabelle
faͤllt	fällt	30	residual	accept	fällt	hegel1-paare
Selbſtſtaͤndige	Selbstständige	29	residual	accept	Selbstständige	cab
	[Formel]	29	residual	accept	[Formel]	cab
koͤnne	könne	29	residual	accept	könne	hegel1-paare
veraͤndert	verändert	27	residual	accept	verändert	hegel1-paare
Sphaͤre	Sphäre	26	residual	accept	Sphäre	hegel1-paare
uͤbergegangen	übergegangen	26	residual	accept	übergegangen	hegel1-paare
Princip	Prinzip	26	residual	accept	Prinzip	hegel1-tabelle
Idealitaͤt	Idealität	26	residual	accept	Idealität	cab
ausgedruͤckt	ausgedrückt	25	residual	accept	ausgedrückt	hegel1-paare
Identitaͤt	Identität	25	residual	accept	Identität	hegel1-paare
willen	Willen	25	residual	reject	willen	hegel1-tabelle
betrift	betrifft	25	residual	accept	betrifft	hegel1-paare
Maaßes	Maßes	25	residual	accept	Maßes	hegel2
continuirt	kontinuiert	24	residual	accept	kontinuiert	hegel2
laſſen	lassen	24	ss_audit	accept	lassen	hegel1-tabelle
Ruͤckkehr	Rückkehr	24	residual	accept	Rückkehr	hegel1-paare
laͤßt	läßt	24	residual	rewrite	lässt	hegel2
haͤtte	hätte	23	residual	accept	hätte	hegel1-paare
gleichguͤltiges	gleichgültiges	23	residual	accept	gleichgültiges	hegel1-paare
Selbſtſtaͤndigen	Selbstständigen	22	residual	accept	Selbstständigen	cab
Uebergang	Übergang	22	residual	accept	Übergang	hegel1-tabelle
Negativitaͤt	Negativität	20	residual	accept	Negativität	hegel1-paare
verhaͤlt	verhält	20	residual	accept	verhält	hegel1-paare
Erkenntniß	Erkenntnis	20	residual	accept	Erkenntnis	hegel2
aͤuſſere	äußere	19	residual	accept	äußere	hegel1-tabelle
andre	andere	19	residual	reject	andre	hegel1-tabelle
Wiſſenſchaften	Wissenschaften	19	ss_audit	accept	Wissenschaften	hegel1-paare
continuirliche	kontinuierliche	19	residual	accept	kontinuierliche	hegel2
Anſichbeſtimmtſeyn	Ansichbestimmtseyn	18	cab_unnormalized	rewrite	Ansichbestimmtsein	hegel2
uͤbergeht	übergeht	18	residual	accept	übergeht	hegel1-paare
zuruͤckgekehrt	zurückgekehrt	18	residual	accept	zurückgekehrt	hegel1-paare
gewoͤhnliche	gewöhnliche	18	residual	accept	gewöhnliche	cab
ſpecificirende	spezifizierende	16	residual	accept	spezifizierende	cab
ausdruͤckt	ausdrückt	16	residual	accept	ausdrückt	hegel1-paare
gleichguͤltigen	gleichgültigen	15	residual	accept	gleichgültigen	hegel1-paare
Koͤrper	Körper	15	residual	accept	Körper	hegel1-paare
Seyns-fuͤr-	Seyns-für-	15	residual	rewrite	Seins-für-	mechanisch
Abſciſſe	Abszisse	15	residual	accept	Abszisse	hegel2
fuͤr-	für-	15	residual	accept	für-	cab
Aufloͤſung	Auflösung	15	residual	accept	Auflösung	hegel1-paare
koͤnnte	könnte	14	residual	accept	könnte	hegel1-paare
naͤhere	nähere	14	residual	accept	nähere	hegel1-paare
veraͤnderlichen	veränderlichen	14	residual	accept	veränderlichen	cab
Statt	Stadt	14	residual	reject	Statt	hegel1-tabelle
voͤllig	völlig	14	residual	accept	völlig	hegel1-paare
ſelbſtſtaͤndig	selbständig	14	residual	rewrite	selbstständig	hegel1-tabelle
Verhaͤltniſſen	Verhältnissen	14	residual	accept	Verhältnissen	hegel1-paare
Mehrern	Mehreren	13	residual	reject	Mehrern	hegel1-paare
auſſerhalb	außerhalb	13	residual	accept	außerhalb	hegel1-paare
Fuͤrſichſeyns	Fürsichseins	13	residual	accept	Fürsichseins	hegel1-paare
hiemit	hiermit	13	residual	accept	hiermit	hegel1-tabelle
anſichſeyende	an-sich-seiende	13	residual	rewrite	ansichseiende	hegel1-tabelle
ſpecificirt	spezifiziert	13	residual	accept	spezifiziert	hegel2
uͤbrig	übrig	12	residual	accept	übrig	hegel1-paare
muͤſſe	müsse	12	residual	accept	müsse	hegel1-paare
Realitaͤten	Realitäten	12	residual	accept	Realitäten	hegel1-paare
ſpecificirte	spezifizierte	12	residual	accept	spezifizierte	hegel2
ausſchlieſſende	ausschließende	12	residual	accept	ausschließende	hegel1-tabelle
Potenzenverhaͤltniß	Potenzenverhältnis	12	residual	accept	Potenzenverhältnis	hegel2
Kraͤfte	Kräfte	12	residual	accept	Kräfte	hegel1-paare
groͤßer	größer	12	residual	accept	größer	cab
faͤhig	fähig	12	residual	accept	fähig	hegel1-paare
beſondern	besonderen	12	residual	rewrite	besondern	hegel1-tabelle
naͤhern	nähern	12	residual	accept	nähern	hegel1-paare
Auſſerſichſeyn	Außer-sich-sein	12	residual	rewrite	Außersichsein	hegel1-paare
zuruͤck	zurück	12	residual	accept	zurück	hegel1-paare
hoͤhere	höhere	12	residual	accept	höhere	hegel1-paare
Aenderung	Änderung	11	residual	accept	Änderung	hegel1-tabelle
aͤndert	ändert	11	residual	accept	ändert	hegel1-paare
Progreſſes	Progresses	11	ss_audit	accept	Progresses	cab
Specifiſche	Spezifische	11	residual	accept	Spezifische	hegel2
Specification	Spezifikation	11	residual	accept	Spezifikation	hegel2
Progreſſion	Progression	11	ss_audit	accept	Progression	cab
Progreſſe	Progresse	10	ss_audit	accept	Progresse	cab
groͤßere	größere	10	residual	accept	größere	cab
ſpecifiſch	spezifisch	10	residual	accept	spezifisch	hegel2
aͤuſſern	äußeren	10	residual	rewrite	äußern	hegel1-tabelle
reflectirte	reflektierte	10	residual	accept	reflektierte	hegel1-tabelle
Moͤglichkeit	Möglichkeit	10	residual	accept	Möglichkeit	hegel1-paare
ſpecifiſches	spezifisches	10	residual	accept	spezifisches	hegel2
waͤren	wären	10	residual	accept	wären	hegel1-paare
Finſterniß	Finsternis	10	residual	accept	Finsternis	hegel2
noͤthig	nötig	10	residual	accept	nötig	hegel1-paare
Raͤſonnement	Räsonnement	10	residual	accept	Räsonnement	hegel1-paare
Saͤtze	Sätze	10	residual	accept	Sätze	hegel1-paare
faſſen	fassen	10	ss_audit	accept	fassen	hegel1-tabelle
verlohren	verloren	10	residual	accept	verloren	hegel1-paare
Zuſtaͤnde	Zustände	9	residual	accept	Zustände	cab
Selbſtſtaͤndiges	Selbstständiges	9	residual	accept	Selbstständiges	cab
Phaͤnomenologie	Phänomenologie	9	residual	accept	Phänomenologie	hegel1-paare
Allmaͤhligkeit	Allmählichkeit	9	residual	accept	Allmählichkeit	hegel1-paare
gaͤnzlich	gänzlich	9	residual	accept	gänzlich	hegel1-paare
wiſſenſchaftlichen	wissenschaftlichen	9	ss_audit	accept	wissenschaftlichen	hegel1-paare
Gegenſtaͤnde	Gegenstände	9	residual	accept	Gegenstände	hegel1-paare
druͤckt	drückt	9	residual	accept	drückt	hegel1-paare
Mannichfaltigkeit	Mannigfaltigkeit	9	residual	accept	Mannigfaltigkeit	hegel1-tabelle
angefuͤhrten	angeführten	9	residual	accept	angeführten	hegel1-paare
ausdruͤcken	ausdrücken	9	residual	accept	ausdrücken	hegel1-paare
Aeuſſerliche	Äußerliche	9	residual	accept	Äußerliche	hegel1-paare
haͤlt	hält	9	residual	accept	hält	hegel1-paare
neuern	neueren	9	residual	reject	neuern	hegel1-tabelle
fuͤhrt	führt	9	residual	accept	führt	hegel1-paare
Diſſeits	Diesseits	9	residual	accept	Diesseits	hegel1-paare
Zuſammenhang	Zusammenhäng	9	residual	rewrite	Zusammenhang	hegel1-tabelle
Wiſſens	Wissens	8	ss_audit	accept	Wissens	hegel1-tabelle
ausſchlieſſend	ausschließend	8	residual	accept	ausschließend	hegel1-paare
Saͤure	Säure	8	residual	accept	Säure	hegel1-paare
zuruͤckgekehrte	zurückgekehrte	8	residual	accept	zurückgekehrte	hegel1-paare
faͤngt	fängt	8	residual	accept	fängt	hegel1-paare
Gegenſtaͤnden	Gegenständen	8	residual	accept	Gegenständen	hegel1-paare
Ausſchlieſſen	Ausschließen	8	residual	accept	Ausschließen	hegel1-tabelle
Aufhoͤren	Aufhören	8	residual	accept	Aufhören	hegel1-paare
Geſchaͤfte	Geschäfte	8	residual	accept	Geschäfte	hegel1-paare
Flaͤche	Fläche	8	residual	accept	Fläche	hegel1-paare
uͤbrigens	übrigens	8	residual	accept	übrigens	hegel1-paare
uͤberfluͤſſig	überflüssig	8	residual	accept	überflüssig	hegel1-tabelle
gelaſſen	gelassen	8	ss_audit	accept	gelassen	hegel1-tabelle
Maaßverhaͤltniß	Maßverhältnis	8	residual	accept	Maßverhältnis	hegel2
Saͤuren	Säuren	8	residual	accept	Säuren	cab
gewoͤhnlich	gewöhnlich	7	residual	accept	gewöhnlich	hegel1-paare
weitern	weiteren	7	residual	accept	weiteren	cab
An-ſich-beſtimmtſeyn	An-sich-bestimmtseyn	7	cab_unnormalized	rewrite	An-sich-bestimmtsein	mechanisch
veraͤnderlich	veränderlich	7	residual	accept	veränderlich	cab
Seynfuͤr-	Seynfür-	7	residual	rewrite	Seinfür-	mechanisch
Zufaͤlligkeit	Zufälligkeit	7	residual	accept	Zufälligkeit	hegel1-paare
ſelbſtſtaͤndigen	selbstständigen	7	residual	accept	selbstständigen	hegel1-paare
Groͤßebeſtimmung	Größebestimmung	7	residual	accept	Größebestimmung	cab
Kalien	Kali	7	residual	accept	Kali	cab
repelliren	rebellieren	7	residual	accept	rebellieren	hegel2
aufloͤst	auflöst	7	residual	accept	auflöst	hegel1-paare
erfuͤllen	erfüllen	7	residual	accept	erfüllen	hegel1-paare
moͤglich	möglich	7	residual	accept	möglich	hegel1-paare
hoͤherer	höherer	7	residual	accept	höherer	hegel1-paare
Abſtoſſen	Abstoßen	7	residual	accept	Abstoßen	hegel1-tabelle
erſtern	ersteren	7	residual	rewrite	erstern	hegel1-tabelle
haͤtten	hätten	7	residual	accept	hätten	hegel1-paare
gruͤndet	gründet	7	residual	accept	gründet	hegel1-paare
repellirt	rebelliert	7	residual	accept	rebelliert	hegel2
abſtrahirt	abstrahiert	7	residual	accept	abstrahiert	hegel1-tabelle
eigenthuͤmlichen	eigentümlichen	7	residual	accept	eigentümlichen	hegel1-paare
eigenthuͤmliche	eigentümliche	7	residual	accept	eigentümliche	hegel1-paare
innern	inneren	7	residual	reject	innern	hegel1-tabelle
Centrifugalkraft	Zentrifugalkraft	6	residual	accept	Zentrifugalkraft	hegel2
groͤßern	größeren	6	residual	accept	größeren	cab
zuruͤckgegangen	zurückgegangen	6	residual	accept	zurückgegangen	hegel1-paare
Beſchaͤftigung	Beschäftigung	6	residual	accept	Beschäftigung	cab
Maaßen	Maßen	6	residual	rewrite	Massen	hegel2
natuͤrlichen	natürlichen	6	residual	accept	natürlichen	hegel1-paare
aͤndern	ändern	6	residual	accept	ändern	hegel1-paare
Ausdruͤcke	Ausdrücke	6	residual	accept	Ausdrücke	hegel1-paare
hoͤhern	höheren	6	residual	rewrite	höhern	hegel1-tabelle
Groͤßenbeſtimmung	Größenbestimmung	6	residual	accept	Größenbestimmung	cab
dafuͤr	dafür	6	residual	accept	dafür	hegel1-paare
Maaßverhaͤltniſſe	Maßverhältnisse	6	residual	accept	Maßverhältnisse	hegel2
zuruͤckkehrt	zurückkehrt	6	residual	accept	zurückkehrt	hegel1-paare
gehoͤren	gehören	6	residual	accept	gehören	hegel1-paare
angehoͤrt	angehört	6	residual	accept	angehört	hegel1-paare
continuirlichen	kontinuierlichen	6	residual	accept	kontinuierlichen	hegel1-paare
Fuͤrſichſeyende	Fürsichseiende	6	residual	accept	Fürsichseiende	hegel1-paare
Principien	Prinzipien	6	residual	accept	Prinzipien	hegel1-tabelle
fernern	ferneren	6	residual	accept	ferneren	cab
Aeuſſerliches	Äußerliches	6	residual	accept	Äußerliches	hegel1-paare
muͤßte	müßte	6	residual	rewrite	müsste	hegel2
Totalitaͤt	Totalität	6	residual	accept	Totalität	hegel1-paare
Umſtaͤnde	Umstände	6	residual	accept	Umstände	hegel1-paare
eigne	eigene	6	residual	reject	eigne	hegel1-tabelle
Neutralitaͤt	Neutralität	6	residual	accept	Neutralität	cab
ausgeſchloſſen	ausgeschlossen	6	ss_audit	accept	ausgeschlossen	hegel1-tabelle
Maſſe	Maße	6	residual	rewrite	Masse	hegel1-tabelle
wuͤrden	würden	6	residual	accept	würden	hegel1-paare
Vorausſetzung	Voraussetzung	6	ss_audit	accept	Voraussetzung	hegel1-tabelle
fuͤhre	führe	6	residual	accept	führe	cab
zuruͤckgenommen	zurückgenommen	6	residual	accept	zurückgenommen	hegel1-paare
Fuͤr-	Für-	6	residual	accept	Für-	cab
Zehen	Zehn	6	residual	accept	Zehn	hegel2
perennirende	perennierende	6	residual	accept	perennierende	hegel2
uͤbrigen	übrigen	6	residual	accept	übrigen	hegel1-paare
beſchraͤnkt	beschränkt	6	residual	accept	beschränkt	hegel1-paare
Repelliren	Rebellieren	6	residual	accept	Rebellieren	hegel2
Zunaͤchſt	Zunächst	6	residual	accept	Zunächst	hegel1-paare
gleichguͤltiger	gleichgültiger	6	residual	accept	gleichgültiger	hegel1-paare
deßwegen	deswegen	6	residual	accept	deswegen	hegel2
willkuͤhrlich	willkürlich	6	residual	accept	willkürlich	hegel1-tabelle
Koͤrpers	Körpers	6	residual	accept	Körpers	hegel1-paare
veraͤndern	verändern	6	residual	accept	verändern	hegel1-paare
Quantitaͤtsbeſtimmungen	Quantitätsbestimmungen	6	residual	accept	Quantitätsbestimmungen	cab
Negiren	Negieren	6	residual	accept	Negieren	hegel1-tabelle
Maaßſtab	Maßstab	6	residual	accept	Maßstab	hegel2
hoͤrt	hört	6	residual	accept	hört	hegel1-paare
haͤufig	häufig	5	residual	accept	häufig	cab
Raumgroͤße	Raumgröße	5	residual	accept	Raumgröße	cab
qualificirenden	qualifizierenden	5	residual	accept	qualifizierenden	hegel2
Auſſerſichſeyns	Außer-sich-seins	5	residual	rewrite	Außersichseins	hegel2
Thaͤtigkeit	Tätigkeit	5	residual	accept	Tätigkeit	hegel1-paare
Intereſſe	Interesse	5	ss_audit	accept	Interesse	hegel1-tabelle
ſtaͤtig	stetig	5	residual	accept	stetig	hegel2
angehoͤren	angehören	5	residual	accept	angehören	hegel1-paare
Quantitaͤten	Quantitäten	5	residual	accept	Quantitäten	cab
negiren	negieren	5	residual	accept	negieren	hegel2
eignen	eigenen	5	residual	reject	eignen	hegel1-tabelle
Veraͤnderungen	Veränderungen	5	residual	accept	Veränderungen	cab
anfaͤngt	anfängt	5	residual	accept	anfängt	hegel1-paare
muͤſſen	müssen	5	residual	accept	müssen	hegel1-tabelle
(—	(--	5	residual	accept	(--	cab
Tavtologie	Tautologie	5	residual	accept	Tautologie	hegel1-paare
Anſich	An_sich	5	residual	rewrite	Ansich	hegel1-tabelle
eingeſchraͤnkt	eingeschränkt	5	residual	accept	eingeschränkt	hegel1-paare
Subſtantialitaͤt	Substantialität	5	residual	accept	Substantialität	hegel1-paare
merkwuͤrdig	merkwürdig	5	residual	accept	merkwürdig	hegel1-paare
ſelbſtſtaͤndige	selbstständige	5	residual	accept	selbstständige	hegel1-paare
hieher	hierher	5	residual	accept	hierher	hegel1-tabelle
vorausſetzt	voraussetzt	5	ss_audit	accept	voraussetzt	hegel1-tabelle
mehrern	mehreren	5	residual	reject	mehrern	hegel1-paare
unmoͤglich	unmöglich	5	residual	accept	unmöglich	hegel1-paare
Auſſerſichkommen	Aussersichkommen	5	ss_audit	accept	Aussersichkommen	cab
Guͤte	Güte	5	residual	accept	Güte	cab
Verknuͤpfung	Verknüpfung	5	residual	accept	Verknüpfung	hegel1-paare
ſpecificirten	spezifizierten	5	residual	accept	spezifizierten	hegel2
gewiſſen	gewissen	5	ss_audit	accept	gewissen	hegel1-tabelle
Uebergange	Übergange	5	residual	accept	Übergange	hegel1-tabelle
einemal	einmal	5	residual	reject	einemal	hegel1-tabelle
Saͤttigung	Sättigung	5	residual	accept	Sättigung	cab
urſpruͤnglichen	ursprünglichen	5	residual	accept	ursprünglichen	hegel1-paare
Maaßloſe	Maßlose	5	residual	accept	Maßlose	hegel2
Groͤßebeſtimmtheit	Größebestimmtheit	5	residual	accept	Größebestimmtheit	cab
zuruͤckgeht	zurückgeht	5	residual	accept	zurückgeht	hegel1-paare
Intenſitaͤt	Intensität	5	residual	accept	Intensität	hegel1-paare
hiedurch	hierdurch	5	residual	accept	hierdurch	hegel1-tabelle
zufaͤllige	zufällige	5	residual	accept	zufällige	hegel1-paare
negirt	negiert	5	residual	accept	negiert	hegel1-tabelle
Groͤſſen	Größen	5	residual	accept	Größen	hegel1-tabelle
ungefaͤhr	ungefähr	5	residual	accept	ungefähr	hegel1-paare
aͤuſſerlicher	äußerlicher	5	residual	accept	äußerlicher	hegel2
erklaͤrt	erklärt	5	residual	accept	erklärt	hegel1-paare
fuͤrſichſeyende	fürsichseiende	5	residual	accept	fürsichseiende	hegel1-paare
ſpecificiren	spezifizieren	4	residual	accept	spezifizieren	cab
gedruͤckt	gedrückt	4	residual	accept	gedrückt	hegel1-paare
aufgeloͤst	aufgelöst	4	residual	accept	aufgelöst	hegel1-paare
Kenntniß	Kenntnis	4	residual	accept	Kenntnis	hegel2
Ueberſchuß	Überschuss	4	residual	rewrite	Überschuß	mechanisch
Oberflaͤche	Oberfläche	4	residual	accept	Oberfläche	hegel1-paare
Quantitativitaͤt	Quantitativität	4	residual	accept	Quantitativität	cab
Calcul	Kalkül	4	residual	reject	Calcul	beibehalten (keine Quelle); prüfen
Modalitaͤt	Modalität	4	residual	accept	Modalität	cab
Geruͤſte	Gerüste	4	residual	accept	Gerüste	hegel1-paare
aufhoͤrt	aufhört	4	residual	accept	aufhört	hegel1-paare
Naͤherung	Näherung	4	residual	accept	Näherung	cab
wegzulaſſen	wegzulassen	4	ss_audit	accept	wegzulassen	cab
Staͤtigkeit	Stetigkeit	4	residual	accept	Stetigkeit	hegel2
Erklaͤrung	Erklärung	4	residual	accept	Erklärung	hegel1-paare
abhaͤngt	abhängt	4	residual	accept	abhängt	cab
hieruͤber	hierüber	4	residual	accept	hierüber	hegel1-paare
reflectirtes	reflektiertes	4	residual	accept	reflektiertes	hegel1-tabelle
Moralitaͤt	Moralität	4	residual	accept	Moralität	hegel1-paare
zerſtoͤrt	zerstört	4	residual	accept	zerstört	hegel1-paare
vollſtaͤndig	vollständig	4	residual	accept	vollständig	hegel1-paare
gruͤnden	gründen	4	residual	accept	gründen	hegel1-paare
definirt	definiert	4	residual	accept	definiert	hegel2
hoͤher	höher	4	residual	accept	höher	hegel1-paare
unnuͤtzen	unnützen	4	residual	accept	unnützen	hegel1-paare
veraͤnderliches	veränderliches	4	residual	accept	veränderliches	cab
erwaͤhnt	erwähnt	4	residual	accept	erwähnt	hegel1-paare
Fluͤſſigkeit	Flüssigkeit	4	residual	accept	Flüssigkeit	hegel1-tabelle
Zuruͤckgekehrtſeyn	Zurückgekehrtsein	4	residual	accept	Zurückgekehrtsein	hegel2
Willkuͤhr	Willkür	4	residual	accept	Willkür	hegel1-tabelle
continuirlich	kontinuierlich	4	residual	accept	kontinuierlich	hegel2
Incommenſurabilitaͤt	Inkommensurabilität	4	residual	accept	Inkommensurabilität	hegel1-paare
vernachlaͤſſigt	vernachlässigt	4	residual	accept	vernachlässigt	cab
Abgeſtoſſene	Abgestossene	4	ss_audit	accept	Abgestossene	cab
ausſchlieſſenden	ausschließenden	4	residual	accept	ausschließenden	hegel2
gaͤbe	gäbe	4	residual	accept	gäbe	hegel1-paare
ſtoͤßt	stößt	4	residual	accept	stößt	cab
Ruͤkſicht	Rücksicht	4	residual	accept	Rücksicht	hegel2
iſolirte	isolierte	4	residual	accept	isolierte	hegel1-paare
continuirliches	kontinuierliches	4	residual	accept	kontinuierliches	hegel2
L’	L'	4	residual	accept	L'	cab
loͤst	löst	4	residual	accept	löst	hegel1-paare
realiſirt	realisiert	4	residual	accept	realisiert	hegel1-tabelle
Ueberfluß	Überfluß	4	residual	accept	Überfluß	hegel2
reſultirt	resultiert	4	residual	accept	resultiert	hegel1-tabelle
Entaͤuſſerung	Entäusserung	4	residual	rewrite	Entäußerung	hegel1-tabelle
Saͤtzen	Sätzen	4	residual	accept	Sätzen	hegel1-paare
ſpaͤtere	spätere	4	residual	accept	spätere	cab
uͤberging	überging	4	residual	accept	überging	cab
eines-ſeyn	eines-seyn	4	cab_unnormalized	rewrite	eines-sein	mechanisch
reflectirt	reflektiert	4	residual	accept	reflektiert	hegel1-tabelle
Huͤlfe	Hilfe	4	residual	accept	Hilfe	hegel1-tabelle
Dinte	Tinte	4	residual	accept	Tinte	hegel2
zuruͤckgefuͤhrt	zurückgeführt	4	residual	accept	zurückgeführt	hegel1-paare
ſpecificirenden	spezifizierenden	4	residual	accept	spezifizierenden	cab
angefuͤhrte	angeführte	4	residual	accept	angeführte	hegel1-paare
ſpecificirend	spezifizierend	4	residual	accept	spezifizierend	cab
Hiemit	Hiermit	4	residual	accept	Hiermit	hegel1-tabelle
veraͤnderlicher	veränderlicher	4	residual	accept	veränderlicher	cab
Ausfuͤhrung	Ausführung	4	residual	accept	Ausführung	hegel1-paare
Weglaſſen	Weglassen	4	ss_audit	accept	Weglassen	cab
Andres	Anderes	4	residual	reject	Andres	hegel1-paare
Ueber	Über	4	residual	accept	Über	hegel1-paare
veraͤnderliche	veränderliche	4	residual	accept	veränderliche	cab
weggelaſſen	weggelassen	4	ss_audit	accept	weggelassen	hegel1-paare
tranſcendentale	transzendentale	4	residual	accept	transzendentale	hegel2
Uebereinſtimmung	Übereinstimmung	4	residual	accept	Übereinstimmung	hegel1-tabelle
angefuͤhrt	angeführt	3	residual	accept	angeführt	cab
beruͤhrt	berührt	3	residual	accept	berührt	hegel1-paare
gleichfoͤrmig	gleichförmig	3	residual	accept	gleichförmig	cab
ſelbſtſtaͤndiger	selbstständiger	3	residual	accept	selbstständiger	hegel1-paare
aufhoͤren	aufhören	3	residual	accept	aufhören	hegel1-paare
abſtoͤßt	abstößt	3	residual	accept	abstößt	cab
uͤbrige	übrige	3	residual	accept	übrige	hegel1-paare
Praͤdicats	Prädikats	3	residual	accept	Prädikats	hegel1-paare
Praͤdikat	Prädikat	3	residual	accept	Prädikat	cab
Quantitaͤtsbeſtimmung	Quantitätsbestimmung	3	residual	accept	Quantitätsbestimmung	cab
Vorlaͤufigkeit	Vorläufigkeit	3	residual	accept	Vorläufigkeit	cab
anderemal	andermal	3	residual	reject	anderemal	hegel1-tabelle
erwaͤhnte	erwähnte	3	residual	accept	erwähnte	hegel1-paare
Kenntniſſe	Kenntnisse	3	ss_audit	accept	Kenntnisse	hegel1-tabelle
auszudruͤcken	auszudrücken	3	residual	accept	auszudrücken	hegel1-paare
beſchraͤnkte	beschränkte	3	residual	accept	beschränkte	hegel1-paare
urſpruͤngliche	ursprüngliche	3	residual	accept	ursprüngliche	hegel1-paare
laͤge	läge	3	residual	accept	läge	hegel1-paare
verhaͤltnißloſe	verhältnislose	3	residual	accept	verhältnislose	hegel2
ſchwaͤchern	schwächeren	3	residual	accept	schwächeren	cab
Innre	Innere	3	residual	reject	Innre	hegel1-tabelle
Continuirliche	Kontinuierliche	3	residual	accept	Kontinuierliche	hegel2
Wuͤrde	Würde	3	residual	accept	Würde	hegel1-paare
erfuͤllt	erfüllt	3	residual	accept	erfüllt	hegel1-paare
Centralkoͤrper	Zentralkörper	3	residual	accept	Zentralkörper	hegel2
